index,Time,Open,High,Low,Close,Volume,WeekDay,Close_Open_Difference,Weekend_Difference
0,2007-05-14,1.35378,1.35493,1.35357,1.35405,274786,0,0.00026999999999999247,0.0
1,2007-05-15,1.35401,1.36071,1.35264,1.35917,667008,1,0.005160000000000053,0.0
2,2007-05-16,1.35915,1.36081,1.35035,1.3527,674245,2,-0.006450000000000067,0.0
3,2007-05-17,1.3527,1.35421,1.34773,1.34915,666123,3,-0.003549999999999942,0.0
4,2007-05-18,1.34919,1.35205,1.34648,1.35053,509342,4,0.0013400000000001189,0.0
5,2007-05-19,0.0,0.0,0.0,0.0,0,5,0.0,0.0006999999999999229
7,2007-05-21,1.35123,1.35288,1.34359,1.34574,739650,0,-0.005489999999999995,0.0
8,2007-05-22,1.34573,1.34744,1.34376,1.34497,663467,1,-0.0007600000000000939,0.0
9,2007-05-23,1.34495,1.35004,1.34149,1.34525,667774,2,0.00029999999999996696,0.0
10,2007-05-24,1.34522,1.34602,1.34152,1.34164,669238,3,-0.0035800000000001386,0.0
11,2007-05-25,1.34164,1.34714,1.34114,1.3438,403512,4,0.002160000000000162,0.0
12,2007-05-26,0.0,0.0,0.0,0.0,0,5,0.0,0.0008499999999997954
14,2007-05-28,1.34465,1.34579,1.34399,1.34445,914661,0,-0.00019999999999997797,0.0
15,2007-05-29,1.34432,1.35183,1.34192,1.34415,662003,1,-0.00017000000000000348,0.0
16,2007-05-30,1.34415,1.34563,1.34079,1.34287,662049,2,-0.0012799999999999478,0.0
17,2007-05-31,1.34293,1.3471,1.34219,1.34527,660984,3,0.0023400000000000087,0.0
18,2007-06-01,1.34524,1.34602,1.33915,1.34439,403855,4,-0.0008500000000000174,0.0
19,2007-06-02,0.0,0.0,0.0,0.0,0,5,0.0,-0.00028999999999990145
21,2007-06-04,1.3441,1.34984,1.34317,1.34968,990780,0,0.005579999999999918,0.0
22,2007-06-05,1.34967,1.35515,1.34885,1.35122,663553,1,0.0015500000000001624,0.0
23,2007-06-06,1.35123,1.35371,1.34844,1.34952,660209,2,-0.0017099999999998783,0.0
24,2007-06-07,1.34957,1.35113,1.34179,1.34205,660494,3,-0.007519999999999971,0.0
25,2007-06-08,1.34207,1.34269,1.33225,1.33708,504626,4,-0.00499000000000005,0.0
26,2007-06-09,0.0,0.0,0.0,0.0,0,5,0.0,-0.00036999999999998145
28,2007-06-11,1.33671,1.33711,1.33325,1.33574,729744,0,-0.0009700000000001374,0.0
29,2007-06-12,1.33577,1.33683,1.3286,1.32908,646696,1,-0.006689999999999863,0.0
30,2007-06-13,1.32914,1.33144,1.32621,1.33037,647680,2,0.0012300000000000644,0.0
31,2007-06-14,1.33036,1.33221,1.32789,1.33115,653718,3,0.0007900000000000684,0.0
32,2007-06-15,1.3311,1.33877,1.33047,1.33867,390201,4,0.007570000000000077,0.0
33,2007-06-16,0.0,0.0,0.0,0.0,0,5,0.0,-0.0010200000000000209
35,2007-06-18,1.33765,1.34269,1.33737,1.34262,980219,0,0.004969999999999919,0.0
36,2007-06-19,1.3426,1.34343,1.3384,1.34274,635897,1,0.000140000000000029,0.0
37,2007-06-20,1.34277,1.3436,1.3382,1.33852,640239,2,-0.004250000000000087,0.0
38,2007-06-21,1.33857,1.34044,1.33717,1.33842,637619,3,-0.0001500000000000945,0.0
39,2007-06-22,1.33847,1.34683,1.33772,1.34676,494777,4,0.008289999999999909,0.0
40,2007-06-23,0.0,0.0,0.0,0.0,0,5,0.0,-0.000280000000000058
42,2007-06-25,1.34648,1.34719,1.34384,1.34572,695779,0,-0.0007599999999998719,0.0
43,2007-06-26,1.34574,1.34764,1.3431,1.34474,631610,1,-0.0009999999999998899,0.0
44,2007-06-27,1.34474,1.34548,1.34167,1.3454,629597,2,0.0006599999999998829,0.0
45,2007-06-28,1.34545,1.34788,1.34233,1.34407,630265,3,-0.0013799999999999368,0.0
46,2007-06-29,1.34404,1.35395,1.34284,1.35393,383641,4,0.009890000000000176,0.0
47,2007-06-30,0.0,0.0,0.0,0.0,0,5,0.0,-0.0003500000000000725
49,2007-07-02,1.35358,1.36374,1.35258,1.3619,949776,0,0.008320000000000105,0.0
50,2007-07-03,1.36197,1.36323,1.35833,1.36066,607820,1,-0.0013099999999999223,0.0
51,2007-07-04,1.3607,1.36299,1.36045,1.36056,601427,2,-0.000140000000000029,0.0
52,2007-07-05,1.3606,1.36574,1.35784,1.35943,615417,3,-0.0011700000000001154,0.0
53,2007-07-06,1.35941,1.36396,1.35678,1.36253,471048,4,0.0031200000000000117,0.0
54,2007-07-07,0.0,0.0,0.0,0.0,0,5,0.0,0.0006599999999998829
56,2007-07-09,1.36319,1.36372,1.36086,1.36197,634208,0,-0.0012199999999999989,0.0
57,2007-07-10,1.36196,1.37822,1.35935,1.37419,597011,1,0.012229999999999963,0.0
58,2007-07-11,1.37423,1.37795,1.37299,1.37462,604048,2,0.00038999999999989043,0.0
59,2007-07-12,1.3746,1.37971,1.37428,1.37795,595946,3,0.003349999999999964,0.0
60,2007-07-13,1.37792,1.38103,1.37621,1.37811,343760,4,0.00018999999999991246,0.0
61,2007-07-14,0.0,0.0,0.0,0.0,0,5,0.0,0.000260000000000149
63,2007-07-16,1.37837,1.38019,1.37603,1.37754,855688,0,-0.0008300000000001084,0.0
64,2007-07-17,1.37755,1.38212,1.3758,1.38115,538552,1,0.0036000000000000476,0.0
65,2007-07-18,1.38116,1.3831,1.37565,1.38052,557592,2,-0.0006399999999999739,0.0
66,2007-07-19,1.38066,1.38284,1.37852,1.37929,575840,3,-0.0013700000000000934,0.0
67,2007-07-20,1.37929,1.38418,1.37777,1.38251,656103,4,0.0032200000000000006,0.0
68,2007-07-21,0.0,0.0,0.0,0.0,0,5,0.0,0.0008300000000001084
70,2007-07-23,1.38334,1.38452,1.37912,1.38265,1130085,0,-0.0006900000000000794,0.0
71,2007-07-24,1.38287,1.38515,1.37991,1.38042,862338,1,-0.0024500000000000632,0.0
72,2007-07-25,1.38008,1.38251,1.36944,1.37083,859747,2,-0.00924999999999998,0.0
73,2007-07-26,1.37074,1.37714,1.36888,1.37426,859406,3,0.0035199999999999676,0.0
74,2007-07-27,1.37404,1.37492,1.36239,1.36306,800996,4,-0.01097999999999999,0.0
75,2007-07-28,0.0,0.0,0.0,0.0,0,5,0.0,-0.0009999999999998899
77,2007-07-30,1.36206,1.37274,1.36058,1.371,922823,0,0.008939999999999948,0.0
78,2007-07-31,1.37115,1.3724,1.36491,1.36528,862991,1,-0.005870000000000042,0.0
79,2007-08-01,1.36534,1.37099,1.36363,1.36527,858960,2,-7.00000000000145e-05,0.0
80,2007-08-02,1.36525,1.37113,1.36478,1.36974,861813,3,0.004489999999999883,0.0
81,2007-08-03,1.36975,1.38178,1.36811,1.37698,800391,4,0.00723000000000007,0.0
82,2007-08-04,0.0,0.0,0.0,0.0,0,5,0.0,0.0016199999999999548
84,2007-08-06,1.3786,1.38387,1.37764,1.38086,907858,0,0.0022599999999999287,0.0
85,2007-08-07,1.38088,1.38132,1.37314,1.37513,859709,1,-0.005750000000000144,0.0
86,2007-08-08,1.37524,1.38259,1.37185,1.38005,861050,2,0.004809999999999981,0.0
87,2007-08-09,1.38014,1.38167,1.36533,1.36625,860435,3,-0.013889999999999958,0.0
88,2007-08-10,1.3664,1.37049,1.36406,1.36907,769005,4,0.00266999999999995,0.0
89,2007-08-11,0.0,0.0,0.0,0.0,0,5,0.0,-0.00019999999999997797
91,2007-08-13,1.36887,1.37091,1.35974,1.36115,948804,0,-0.007719999999999949,0.0
92,2007-08-14,1.36108,1.3625,1.35183,1.35215,858583,1,-0.008930000000000105,0.0
93,2007-08-15,1.35216,1.35251,1.34032,1.34077,858192,2,-0.011390000000000011,0.0
94,2007-08-16,1.34096,1.34464,1.33594,1.34241,857027,3,0.0014500000000001734,0.0
95,2007-08-17,1.34263,1.3546,1.33691,1.34721,769548,4,0.0045800000000000285,0.0
96,2007-08-18,0.0,0.0,0.0,0.0,0,5,0.0,0.00038999999999989043
98,2007-08-20,1.3476,1.35076,1.34557,1.34627,946307,0,-0.0013299999999998313,0.0
99,2007-08-21,1.34632,1.35203,1.34485,1.34563,855174,1,-0.0006899999999998574,0.0
100,2007-08-22,1.34558,1.35582,1.34459,1.35513,860770,2,0.009549999999999947,0.0
101,2007-08-23,1.35524,1.35879,1.35324,1.35566,860734,3,0.00042000000000008697,0.0
102,2007-08-24,1.35572,1.36828,1.35497,1.36725,769321,4,0.01153000000000004,0.0
103,2007-08-25,0.0,0.0,0.0,0.0,0,5,0.0,0.00019999999999997797
105,2007-08-27,1.36745,1.36852,1.36211,1.36254,963599,0,-0.00490999999999997,0.0
106,2007-08-28,1.36234,1.36799,1.3563,1.3568,855484,1,-0.0055400000000001,0.0
107,2007-08-29,1.35675,1.36802,1.3557,1.36496,846647,2,0.00821000000000005,0.0
108,2007-08-30,1.36501,1.3672,1.35883,1.36623,861163,3,0.0012199999999999989,0.0
109,2007-08-31,1.36636,1.37191,1.36158,1.36279,766613,4,-0.003570000000000073,0.0
110,2007-09-01,0.0,0.0,0.0,0.0,0,5,0.0,-2.999999999997449e-05
112,2007-09-03,1.36276,1.36541,1.36017,1.36106,964049,0,-0.0017000000000000348,0.0
113,2007-09-04,1.36096,1.36256,1.3548,1.36182,854796,1,0.0008600000000000829,0.0
114,2007-09-05,1.36176,1.36712,1.3566,1.36443,842406,2,0.00266999999999995,0.0
115,2007-09-06,1.36453,1.37098,1.36308,1.36808,859466,3,0.003549999999999942,0.0
116,2007-09-07,1.36826,1.37978,1.36601,1.37657,770247,4,0.00831000000000004,0.0
117,2007-09-08,0.0,0.0,0.0,0.0,0,5,0.0,0.00024000000000001798
119,2007-09-10,1.37681,1.38143,1.37644,1.37853,962508,0,0.0017199999999999438,0.0
120,2007-09-11,1.37852,1.38482,1.37756,1.38283,862952,1,0.004310000000000036,0.0
121,2007-09-12,1.38288,1.39141,1.38207,1.38897,857233,2,0.006089999999999929,0.0
122,2007-09-13,1.38899,1.39265,1.386,1.387,858910,3,-0.0019899999999999363,0.0
123,2007-09-14,1.38708,1.38947,1.38414,1.38728,798587,4,0.00019999999999997797,0.0
124,2007-09-15,0.0,0.0,0.0,0.0,0,5,0.0,-0.00048000000000003595
126,2007-09-17,1.3868,1.38899,1.38474,1.38675,904022,0,-5.0000000000105516e-05,0.0
127,2007-09-18,1.38675,1.39889,1.38271,1.39634,863966,1,0.009589999999999987,0.0
128,2007-09-19,1.39644,1.39867,1.39323,1.39721,861700,2,0.0007700000000001594,0.0
129,2007-09-20,1.397,1.40993,1.39673,1.40737,860407,3,0.01036999999999999,0.0
130,2007-09-21,1.4076,1.41195,1.40394,1.40885,766797,4,0.0012499999999999734,0.0
131,2007-09-22,0.0,0.0,0.0,0.0,0,5,0.0,0.00016000000000016001
